srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
1354,1218,2297,NCE,France,BCN,Spain,EasyJet Airline,United Kingdom,496
532,666,4319,ABZ,United Kingdom,SVG,Norway,SAS Scandinavian Airlines,Sweden,497
666,532,4319,SVG,Norway,ABZ,United Kingdom,SAS Scandinavian Airlines,Sweden,497
2877,2883,16475,DOM,Dominica,STT,Virgin Islands,TUR European Airways,Turkey,499
2883,2877,16475,STT,Virgin Islands,DOM,Dominica,TUR European Airways,Turkey,499
1761,2890,14849,POP,Dominican Republic,SJU,Puerto Rico,,Italy,502
2890,1761,14849,SJU,Puerto Rico,POP,Dominican Republic,,Italy,502
608,644,4319,BLL,Denmark,OSL,Norway,SAS Scandinavian Airlines,Sweden,508
644,608,4319,OSL,Norway,BLL,Denmark,SAS Scandinavian Airlines,Sweden,508
337,1612,2297,SXF,Germany,SZG,Austria,EasyJet Airline,United Kingdom,511
1612,337,2297,SZG,Austria,SXF,Germany,EasyJet Airline,United Kingdom,511
340,1529,1531,FRA,Germany,LIN,Italy,SN Brussels Airlines,Belgium,512
1529,340,1531,LIN,Italy,FRA,Germany,SN Brussels Airlines,Belgium,512
1638,1229,2297,LIS,Portugal,MAD,Spain,EasyJet Airline,United Kingdom,513
1229,1638,2297,MAD,Spain,LIS,Portugal,EasyJet Airline,United Kingdom,513
609,644,3871,CPH,Denmark,OSL,Norway,PIA Pakistan International,Pakistan,517
644,609,3871,OSL,Norway,CPH,Denmark,PIA Pakistan International,Pakistan,517
609,644,4319,CPH,Denmark,OSL,Norway,SAS Scandinavian Airlines,Sweden,517
644,609,4319,OSL,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,517
341,1678,18553,FMO,Germany,ZRH,Switzerland,,Netherlands,523
1678,341,18553,ZRH,Switzerland,FMO,Germany,,Netherlands,523
4053,1359,2297,BSL,Switzerland,MPL,France,EasyJet Airline,United Kingdom,525
1359,4053,2297,MPL,France,BSL,Switzerland,EasyJet Airline,United Kingdom,525
1324,1665,2297,AJA,France,GVA,Switzerland,EasyJet Airline,United Kingdom,526
1665,1324,2297,GVA,Switzerland,AJA,France,EasyJet Airline,United Kingdom,526
609,3958,4319,CPH,Denmark,PLQ,Lithuania,SAS Scandinavian Airlines,Sweden,529
3958,609,4319,PLQ,Lithuania,CPH,Denmark,SAS Scandinavian Airlines,Sweden,529
1665,1399,2297,GVA,Switzerland,LIL,France,EasyJet Airline,United Kingdom,530
1399,1665,2297,LIL,France,GVA,Switzerland,EasyJet Airline,United Kingdom,530
302,1665,2297,BRU,Belgium,GVA,Switzerland,EasyJet Airline,United Kingdom,532
1665,302,2297,GVA,Switzerland,BRU,Belgium,EasyJet Airline,United Kingdom,532
532,636,4319,ABZ,United Kingdom,BGO,Norway,SAS Scandinavian Airlines,Sweden,548
636,532,4319,BGO,Norway,ABZ,United Kingdom,SAS Scandinavian Airlines,Sweden,548
1218,1335,2297,BCN,Spain,LYS,France,EasyJet Airline,United Kingdom,549
1335,1218,2297,LYS,France,BCN,Spain,EasyJet Airline,United Kingdom,549
1264,1665,2297,BOD,France,GVA,Switzerland,EasyJet Airline,United Kingdom,554
1665,1264,2297,GVA,Switzerland,BOD,France,EasyJet Airline,United Kingdom,554
951,1020,1531,LAD,Angola,FIH,Congo (Kinshasa),SN Brussels Airlines,Belgium,554
609,666,4319,CPH,Denmark,SVG,Norway,SAS Scandinavian Airlines,Sweden,556
666,609,4319,SVG,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,556
580,4053,2297,AMS,Netherlands,BSL,Switzerland,EasyJet Airline,United Kingdom,561
4053,580,2297,BSL,Switzerland,AMS,Netherlands,EasyJet Airline,United Kingdom,561
1335,1551,2297,LYS,France,VCE,Italy,EasyJet Airline,United Kingdom,565
1551,1335,2297,VCE,Italy,LYS,France,EasyJet Airline,United Kingdom,565
2064,2188,4089,DMM,Saudi Arabia,DXB,United Arab Emirates,Qantas Airways,Australia,573
2188,2064,4089,DXB,United Arab Emirates,DMM,Saudi Arabia,Qantas Airways,Australia,573
609,680,4319,CPH,Denmark,WRO,Poland,SAS Scandinavian Airlines,Sweden,575
680,609,4319,WRO,Poland,CPH,Denmark,SAS Scandinavian Airlines,Sweden,575
302,1335,2297,BRU,Belgium,LYS,France,EasyJet Airline,United Kingdom,577
1335,302,2297,LYS,France,BRU,Belgium,EasyJet Airline,United Kingdom,577
253,298,1531,ABJ,Cote d'Ivoire,LFW,Togo,SN Brussels Airlines,Belgium,582
2877,2890,16475,DOM,Dominica,SJU,Puerto Rico,TUR European Airways,Turkey,594
2890,2877,16475,SJU,Puerto Rico,DOM,Dominica,TUR European Airways,Turkey,594
580,337,2297,AMS,Netherlands,SXF,Germany,EasyJet Airline,United Kingdom,595
337,580,2297,SXF,Germany,AMS,Netherlands,EasyJet Airline,United Kingdom,595
1665,1418,2297,GVA,Switzerland,NTE,France,EasyJet Airline,United Kingdom,597
1418,1665,2297,NTE,France,GVA,Switzerland,EasyJet Airline,United Kingdom,597
1382,1524,3871,CDG,France,MXP,Italy,PIA Pakistan International,Pakistan,598
1524,1382,3871,MXP,Italy,CDG,France,PIA Pakistan International,Pakistan,598
1382,1524,2297,CDG,France,MXP,Italy,EasyJet Airline,United Kingdom,598
1524,1382,2297,MXP,Italy,CDG,France,EasyJet Airline,United Kingdom,598
4053,338,2297,BSL,Switzerland,DRS,Germany,EasyJet Airline,United Kingdom,599
